Date,Close,High,Low,Open,Volume
2015-01-02,94.78443908691406,95.9446087950022,94.32405227498998,95.53947317747176,31314600
2015-01-05,93.39405059814453,94.4805635418085,93.12702545669941,94.37006819967621,36521300
2015-01-06,92.14183044433594,93.68873065157103,91.72748505978664,93.53220079740319,66205500
2015-01-07,93.32959747314453,93.55058113420557,92.52852204250036,92.74951272850532,37577400
2015-01-08,95.11593627929688,95.30008822918138,94.0202132101282,94.12149889004867,40212600
2015-01-09,94.48979187011719,95.43818757931022,93.93732207549053,95.41056549456795,41410100
2015-01-12,93.50454711914062,94.77521195743451,93.26514405397431,94.67392631543892,34129800
2015-01-13,93.47693634033203,95.41056659391465,92.7219022405805,94.41612938206279,56162300
2015-01-14,92.9613037109375,93.44010992668221,92.14181575220215,92.53774868928346,51354200
2015-01-15,91.75507354736328,93.5413692215426,91.64457820697274,93.39404912596562,51005400
2015-01-16,92.83238220214844,92.95208022586452,91.48805376101762,91.63537386521094,35362200
2015-01-20,93.56901550292969,93.80841158030901,92.34438493232024,93.39406627142975,30964100
2015-01-21,94.04780578613281,94.48978016208095,92.96129276291072,93.29277178863572,40128800
2015-01-22,95.7880859375,95.88937160549166,93.58743737830982,94.41613510508444,40887200
2015-01-23,95.99986267089844,96.29450995776224,95.50264405713851,95.7788719370415,34783000
2015-01-26,95.88935852050781,96.06430774588286,95.40134965492987,95.88935852050781,19960900
2015-01-27,93.40328216552734,94.43454416707455,93.090215468668,94.37929999554751,45253200
2015-01-28,92.92447662353516,95.00542707426466,92.90606424120374,94.90414140907791,43591700
2015-01-29,93.8176040649414,93.99255326433295,92.04051106699411,92.85078915506908,46539700
2015-01-30,93.09016418457031,94.45291153936805,92.96125650539317,93.73470960539773,42927600
2015-02-02,93.90049743652344,93.98336369085976,91.84716916030952,93.30199317485067,43624700
2015-02-03,94.8028564453125,94.86731032136773,93.62426726890529,94.24118394328319,30750400
2015-02-04,94.7199935913086,95.34611999189798,94.20435553938765,94.41613658257863,34073200
2015-02-05,95.53946685791016,95.60392072631835,94.71997894888682,94.95937501729165,23605500
2015-02-06,94.95935821533203,95.91696339434857,94.6186765532876,95.68677004434296,34169300
2015-02-09,94.65552520751953,95.10670228698241,94.42533181647492,94.59107133902484,22604700
2015-02-10,96.12876892089844,96.25767666783219,95.0330460470162,95.18037320062354,23686500
2015-02-11,96.47866821289062,96.69965193631283,96.05511314927061,96.23926508129813,20303600
2015-02-12,97.60202026367188,97.63885205770835,96.95748143039978,97.10480158159922,22520300
2015-02-13,98.4399185180664,98.45833090088058,97.6940870525958,97.87824600546634,29030200
2015-02-17,98.531982421875,98.59643629125421,98.19129366947358,98.43990646918256,17675300
2015-02-18,98.67010498046875,98.72534914996024,98.28337471919264,98.41228246463625,15149600
2015-02-19,99.1580810546875,99.22253490607412,98.57798936726498,98.6056114428674,19828100
2015-02-20,99.8210678100586,99.87631197722503,98.7805891621241,99.09365583427221,28336700
2015-02-23,99.92235565185547,99.94998476293036,99.54484209984598,99.76582581382583,17868000
2015-02-24,99.99600219726562,100.11570725002832,99.48958097962417,99.79343090023127,19745000
