strategy,params,total_return,annual_return,max_drawdown,sharpe,calmar,sortino,profit_factor,trade_count,win_rate,avg_trade_return,avg_hold_days,z_annual,z_sharpe,z_calmar,z_mdd,z_trade,base_score,neighbor_score,robustness_score
trend_pullback,"{'rsi_buy': 25, 'rsi_sell': 55}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 25, 'rsi_sell': 60}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 25, 'rsi_sell': 65}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 25, 'rsi_sell': 70}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 25, 'rsi_sell': 75}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 25, 'rsi_sell': 80}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 30, 'rsi_sell': 55}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 30, 'rsi_sell': 60}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 30, 'rsi_sell': 65}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 30, 'rsi_sell': 70}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 30, 'rsi_sell': 75}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 30, 'rsi_sell': 80}",0.0,0.0,0.0,,,,,0,,,,0.31889074647969157,,-0.20839780946315026,1.1842253265168092,-0.8689462044009544,,,
trend_pullback,"{'rsi_buy': 35, 'rsi_sell': 55}",-0.031447478375557836,-0.003990055763666178,-0.08401408997863291,-0.16794748768305823,-0.04749269753062801,-0.019347188202485724,0.38226103365175385,5,0.4,-0.013313693525861137,6.6,-0.046807891612157274,-0.3039809338454242,-0.29897203377799375,0.3301753128417985,-0.6396055639432244,-0.16009324277205644,,
trend_pullback,"{'rsi_buy': 35, 'rsi_sell': 60}",-0.03160971160063886,-0.00401093204774805,-0.08401408997863291,-0.15098410436225332,-0.047741183041655755,-0.02021734335368144,0.3964186477511701,5,0.4,-0.01300856442531031,7.6,-0.048721255512150605,-0.2216863412564779,-0.3040276846622326,0.3301753128417985,-0.6396055639432244,-0.13714711869143065,,
