strategy,total_return,annual_return,max_drawdown,sharpe,trade_count,win_rate,avg_hold_days
buy_and_hold,4.366390992101595,0.1832710466110079,-0.35118725715688137,0.8808482847646474,0,,
ma_cross,1.312174096394462,0.08757677826463417,-0.26807497443157147,0.6244992990333271,24,0.5416666666666666,101.5
rsi_reversion,1.3090844939932458,0.0874311340854359,-0.262064249849579,0.5935715132988593,25,0.8,44.08
breakout_trend,0.8792252626223385,0.06522522470509284,-0.1596777739545514,0.6972337017655754,53,0.5660377358490566,29.69811320754717
trend_pullback,0.002543395561697359,0.0002544528702141946,-0.0844719179606932,0.02278442008170398,7,0.5714285714285714,7.714285714285714
