strategy,params,total_return,annual_return,max_drawdown,sharpe,calmar,sortino,profit_factor,trade_count,win_rate,avg_trade_return,avg_hold_days,z_annual,z_sharpe,z_calmar,z_mdd,z_trade,base_score,neighbor_score,robustness_score
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 20, 'sell_threshold': 55}",0.0843466371940802,0.010183760435613864,-0.3016363676373428,0.14278986874901334,0.033761712870968505,0.08013018404949461,1.9668446223008453,39,0.6666666666666666,0.009203556993714947,12.384615384615385,-0.98339277680494,-0.9915735954137425,-1.0938730498304456,-0.6630284878187954,0.49900556259191986,-0.8912925303261925,-0.5026680647259906,-0.7358427440861117
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 20, 'sell_threshold': 60}",0.14124271431218438,0.016668516076012718,-0.28594447569865966,0.18741602962533047,0.05829284176687051,0.10902480897807133,2.644120218807917,38,0.7368421052631579,0.013381246902457572,13.789473684210526,-0.7833766690941156,-0.738857425550393,-0.8850639879454429,-0.3727786966534637,0.45047990010324046,-0.672160201417865,-0.3230544566001524,-0.53251790349078
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 20, 'sell_threshold': 65}",0.25454549285274153,0.028781218252158736,-0.28515971588471123,0.2634234729333733,0.10093016877529382,0.1651080565044628,2.3925894035664372,37,0.7297297297297297,0.013069876519553257,17.027027027027028,-0.4097719139604056,-0.3084303044016407,-0.5221348992886122,-0.35826315110908163,0.40195423761456106,-0.35914755541838084,-0.3332612003558461,-0.34879301339336694
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 20, 'sell_threshold': 70}",0.261240777731534,0.029466603995229157,-0.2839313621472719,0.2616623924849326,0.10378072986507623,0.17818762949636419,2.0368612189388404,35,0.7142857142857143,0.012387225509141496,20.857142857142858,-0.3886318438927839,-0.31840323276947957,-0.4978709125177959,-0.3355425373575925,0.30490291263720226,-0.3522328939052675,-0.19802135087906025,-0.2905482766947846
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 20, 'sell_threshold': 75}",0.30055405658606693,0.03342798481256959,-0.254327674549516,0.28349459461240434,0.1314366785753053,0.19646161947991955,1.9788282241406991,34,0.7352941176470589,0.01313805413050029,22.941176470588236,-0.26644682780542006,-0.19476834253931521,-0.2624633725620061,0.21203095961446497,0.25637725014852286,-0.14603454640405522,-0.16216880442763829,-0.15248824961348845
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 20, 'sell_threshold': 80}",0.43906894844164945,0.046597813566436885,-0.23593093003469812,0.35642512065280174,0.19750616656995246,0.25589941877249717,3.101660028607896,33,0.7575757575757576,0.018852081849022175,25.363636363636363,0.13976398916911353,0.21823431879491556,0.2999203589787533,0.5523118686605383,0.2078515876598435,0.2686307423575142,-0.2704791332242553,0.05298679212480638
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 25, 'sell_threshold': 55}",-0.04834897869317045,-0.006181577204674382,-0.3478845741219221,0.04102740983804862,-0.017769046587584374,0.0267720121251967,1.6661521774844092,49,0.673469387755102,0.007140701247022277,12.959183673469388,-1.4881660200389089,-1.5678503431073443,-1.5325030691182926,-1.5184723263548625,0.9842621874787139,-1.4040801148007973,-0.7025940786860546,-1.1234857003549004
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 25, 'sell_threshold': 60}",0.024164258263411176,0.002992046407133575,-0.332404466704992,0.09966897163318998,0.009001222025662512,0.06730524642391011,1.9574053605259896,48,0.7291666666666666,0.009562997149542563,14.375,-1.20521434225987,-1.2357655166140622,-1.3046344414957203,-1.2321398711902551,0.9357365249900345,-1.136226005352153,-0.7416380274825302,-0.9783908142043037
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 25, 'sell_threshold': 65}",0.07573257727915683,0.009176143914208845,-0.3469871719127354,0.1389291796349102,0.02644519641353362,0.0990771647766315,1.8094609388055256,45,0.7555555555555555,0.008669008018493258,17.644444444444446,-1.014471748142117,-1.013436523946926,-1.1561512655711967,-1.501873256922984,0.7901595375239963,-1.032459722274654,-0.5770784706165601,-0.8503072216114165
rsi_reversion,"{'rsi_window': 7, 'buy_threshold': 25, 'sell_threshold': 70}",0.1671090108518698,0.019523541474693262,-0.3201398093640411,0.19826498251539038,0.06098442275416122,0.14956452435777037,1.6725078809834473,43,0.7441860465116279,0.008384504463293646,20.72093023255814,-0.6953161315308986,-0.677420237865739,-0.862153240407951,-1.0052829538831822,0.6931082125466375,-0.7087304467995795,-0.41959480761472645,-0.5930761911256383
